Undergraduate Major,Starting Median Salary,Mid-Career Median Salary,Percent change from Starting to Mid-Career Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary
Geology,"$43,500.00 ","$79,500.00 ",82.8,"$45,000.00 ","$59,600.00 ","$101,000.00 ","$156,000.00 "
Graphic Design,"$35,700.00 ","$59,800.00 ",67.5,"$36,000.00 ","$45,500.00 ","$80,800.00 ","$112,000.00 "
Health Care Administration,"$38,800.00 ","$60,600.00 ",56.2,"$34,600.00 ","$45,600.00 ","$78,800.00 ","$101,000.00 "
History,"$39,200.00 ","$71,000.00 ",81.1,"$37,000.00 ","$49,200.00 ","$103,000.00 ","$149,000.00 "
Hospitality & Tourism,"$37,800.00 ","$57,500.00 ",52.1,"$35,500.00 ","$43,600.00 ","$81,900.00 ","$124,000.00 "
Industrial Engineering,"$57,700.00 ","$94,700.00 ",64.1,"$57,100.00 ","$72,300.00 ","$132,000.00 ","$173,000.00 "
Information Technology (IT),"$49,100.00 ","$74,800.00 ",52.3,"$44,500.00 ","$56,700.00 ","$96,700.00 ","$129,000.00 "
Interior Design,"$36,100.00 ","$53,200.00 ",47.4,"$35,700.00 ","$42,600.00 ","$72,500.00 ","$107,000.00 "
International Relations,"$40,900.00 ","$80,900.00 ",97.8,"$38,200.00 ","$56,000.00 ","$111,000.00 ","$157,000.00 "
Journalism,"$35,600.00 ","$66,700.00 ",87.4,"$38,400.00 ","$48,300.00 ","$97,700.00 ","$145,000.00 "
Management Information Systems (MIS),"$49,200.00 ","$82,300.00 ",67.3,"$45,300.00 ","$60,500.00 ","$108,000.00 ","$146,000.00 "
Marketing,"$40,800.00 ","$79,600.00 ",95.1,"$42,100.00 ","$55,600.00 ","$119,000.00 ","$175,000.00 "
Math,"$45,400.00 ","$92,400.00 ",103.5,"$45,200.00 ","$64,200.00 ","$128,000.00 ","$183,000.00 "
Mechanical Engineering,"$57,900.00 ","$93,600.00 ",61.7,"$63,700.00 ","$76,200.00 ","$120,000.00 ","$163,000.00 "
Music,"$35,900.00 ","$55,000.00 ",53.2,"$26,700.00 ","$40,200.00 ","$88,000.00 ","$134,000.00 "
Nursing,"$54,200.00 ","$67,000.00 ",23.6,"$47,600.00 ","$56,400.00 ","$80,900.00 ","$98,300.00 "
Nutrition,"$39,900.00 ","$55,300.00 ",38.6,"$33,900.00 ","$44,500.00 ","$70,500.00 ","$99,200.00 "
Philosophy,"$39,900.00 ","$81,200.00 ",103.5,"$35,500.00 ","$52,800.00 ","$127,000.00 ","$168,000.00 "
Physician Assistant,"$74,300.00 ","$91,700.00 ",23.4,"$66,400.00 ","$75,200.00 ","$108,000.00 ","$124,000.00 "
Physics,"$50,300.00 ","$97,300.00 ",93.4,"$56,000.00 ","$74,200.00 ","$132,000.00 ","$178,000.00 "
Political Science,"$40,800.00 ","$78,200.00 ",91.7,"$41,200.00 ","$55,300.00 ","$114,000.00 ","$168,000.00 "
Psychology,"$35,900.00 ","$60,400.00 ",68.2,"$31,600.00 ","$42,100.00 ","$87,500.00 ","$127,000.00 "
Religion,"$34,100.00 ","$52,000.00 ",52.5,"$29,700.00 ","$36,500.00 ","$70,900.00 ","$96,400.00 "
Sociology,"$36,500.00 ","$58,200.00 ",59.5,"$30,700.00 ","$40,400.00 ","$81,200.00 ","$118,000.00 "
Spanish,"$34,000.00 ","$53,100.00 ",56.2,"$31,000.00 ","$40,000.00 ","$76,800.00 ","$96,400.00 "
